,Year,Facility Name,Substance Name (English),Units,Stack Emissions,Direct Discharge
152,2014,Pickering Nuclear - A & B,Iodine-131,Bq,15200000.0,0.0
153,2014,Pickering Nuclear - A & B,Particulate (gross beta/gamma),Bq,7900000.0,32000000000.0
154,2014,Pickering Nuclear - A & B,Particulate gross alpha,Bq,860000.0,3200000.0
155,2014,Pickering Nuclear - A & B,Total noble gases,Bq-MeV,121000000000000.0,0.0
156,2014,Pickering Nuclear - A & B,Tritium (HTO),Bq,530000000000000.0,340000000000000.0
157,2014,Point Lepreau Generating Station,Carbon-14,Bq,84000000000.0,6600000000.0
158,2014,Point Lepreau Generating Station,Estimated public dose (see footnote),mSv/a,0.0003,0.0
159,2014,Point Lepreau Generating Station,Iodine-131,Bq,0.0,0.0
160,2014,Point Lepreau Generating Station,Particulate (gross beta/gamma),Bq,0.0,10000000.0
161,2014,Point Lepreau Generating Station,Particulate gross alpha,Bq,0.0,83000000.0
162,2014,Point Lepreau Generating Station,Total noble gases,Bq-MeV,3800000000000.0,0.0
163,2014,Point Lepreau Generating Station,Tritium (HTO),Bq,66000000000000.0,320000000000000.0
164,2015,Bruce Power - A,Carbon-14,Bq,3150000000000.0,2450000000.0
165,2015,Bruce Power - A,Iodine-131,Bq,51500000.0,0.0
166,2015,Bruce Power - A,Particulate (gross beta/gamma),Bq,10600000.0,917000000.0
167,2015,Bruce Power - A,Particulate gross alpha,Bq,1230000.0,1310000.0
168,2015,Bruce Power - A,Total noble gases,Bq-MeV,56200000000000.0,0.0
169,2015,Bruce Power - A,Tritium (HTO),Bq,705000000000000.0,220000000000000.0
170,2015,Bruce Power - B,Carbon-14,Bq,1160000000000.0,9070000000.0
171,2015,Bruce Power - B,Iodine-131,Bq,40100000.0,0.0
172,2015,Bruce Power - B,Particulate (gross beta/gamma),Bq,16300000.0,1530000000.0
173,2015,Bruce Power - B,Particulate gross alpha,Bq,2340000.0,1400000.0
174,2015,Bruce Power - B,Total noble gases,Bq-MeV,52500000000000.0,0.0
175,2015,Bruce Power - B,Tritium (HTO),Bq,374000000000000.0,672000000000000.0
176,2015,Bruce Power Site,Estimated public dose (see footnote),mSv/a,0.0029,0.0
177,2015,Darlington Nuclear,Carbon-14,Bq,1300000000000.0,7300000000.0
178,2015,Darlington Nuclear,Elemental Tritium (HT),Bq,17000000000000.0,0.0
179,2015,Darlington Nuclear,Estimated public dose (see footnote),mSv/a,0.0005,0.0
180,2015,Darlington Nuclear,Iodine-131,Bq,140000000.0,0.0
181,2015,Darlington Nuclear,Particulate (gross beta/gamma),Bq,35000000.0,49000000000.0
182,2015,Darlington Nuclear,Particulate gross alpha,Bq,6400000.0,2300000.0
183,2015,Darlington Nuclear,Total noble gases,Bq-MeV,22000000000000.0,0.0
184,2015,Darlington Nuclear,Tritium (HTO),Bq,250000000000000.0,240000000000000.0
185,2015,Gentilly-2,Carbon-14,Bq,410000000000.0,300000000000.0
186,2015,Gentilly-2,Estimated public dose (see footnote),mSv/a,0.001,0.0
187,2015,Gentilly-2,Iodine-131,Bq,0.0,0.0
188,2015,Gentilly-2,Particulate (gross beta/gamma),Bq,1350000.0,528000000.0
189,2015,Gentilly-2,Total noble gases,Bq-MeV,0.0,0.0
190,2015,Gentilly-2,Tritium (HTO),Bq,112000000000000.0,151000000000000.0
191,2015,Pickering Nuclear - A & B,Carbon-14,Bq,2000000000000.0,2800000000.0
192,2015,Pickering Nuclear - A & B,Estimated public dose (see footnote),mSv/a,0.0012,0.0
193,2015,Pickering Nuclear - A & B,Iodine-131,Bq,18600000.0,0.0
194,2015,Pickering Nuclear - A & B,Particulate (gross beta/gamma),Bq,20300000.0,21900000000.0
195,2015,Pickering Nuclear - A & B,Particulate gross alpha,Bq,1060000.0,5400000.0
196,2015,Pickering Nuclear - A & B,Total noble gases,Bq-MeV,109000000000000.0,0.0
197,2015,Pickering Nuclear - A & B,Tritium (HTO),Bq,540000000000000.0,369000000000000.0
198,2015,Point Lepreau Generating Station,Carbon-14,Bq,71000000000.0,10000000000.0
199,2015,Point Lepreau Generating Station,Estimated public dose (see footnote),mSv/a,0.0006,0.0
200,2015,Point Lepreau Generating Station,Iodine-131,Bq,500000.0,0.0
201,2015,Point Lepreau Generating Station,Particulate (gross beta/gamma),Bq,8100000.0,55000000.0
202,2015,Point Lepreau Generating Station,Particulate gross alpha,Bq,0.0,6700000.0
203,2015,Point Lepreau Generating Station,Total noble gases,Bq-MeV,5900000000000.0,0.0
204,2015,Point Lepreau Generating Station,Tritium (HTO),Bq,140000000000000.0,140000000000000.0
205,2016,Bruce Power - A,Carbon-14,Bq,1690000000000.0,1660000000.0
206,2016,Bruce Power - A,Iodine-131,Bq,4400000.0,0.0
207,2016,Bruce Power - A,Particulate (gross beta/gamma),Bq,314000.0,996000000.0
208,2016,Bruce Power - A,Particulate gross alpha,Bq,2460000.0,69600.0
209,2016,Bruce Power - A,Total noble gases,Bq-MeV,56300000000000.0,0.0
210,2016,Bruce Power - A,Tritium (HTO),Bq,566000000000000.0,236000000000000.0
211,2016,Bruce Power - B,Carbon-14,Bq,1130000000000.0,1760000000.0
212,2016,Bruce Power - B,Iodine-131,Bq,0.0,0.0
213,2016,Bruce Power - B,Particulate (gross beta/gamma),Bq,1130000.0,1420000000.0
214,2016,Bruce Power - B,Particulate gross alpha,Bq,1850.0,0.0
215,2016,Bruce Power - B,Total noble gases,Bq-MeV,52500000000000.0,0.0
216,2016,Bruce Power - B,Tritium (HTO),Bq,570000000000000.0,507000000000000.0
217,2016,Bruce Power Site,Estimated public dose (see footnote),mSv/a,0.0016,0.0
218,2016,Darlington Nuclear,Carbon-14,Bq,1600000000000.0,2200000000.0
219,2016,Darlington Nuclear,Elemental Tritium (HT),Bq,17000000000000.0,0.0
220,2016,Darlington Nuclear,Estimated public dose (see footnote),mSv/a,0.0006,0.0
221,2016,Darlington Nuclear,Iodine-131,Bq,140000000.0,0.0
222,2016,Darlington Nuclear,Particulate (gross beta/gamma),Bq,32000000.0,49000000000.0
223,2016,Darlington Nuclear,Particulate gross alpha,Bq,5000000.0,1200000.0
224,2016,Darlington Nuclear,Total noble gases,Bq-MeV,16000000000000.0,0.0
225,2016,Darlington Nuclear,Tritium (HTO),Bq,180000000000000.0,350000000000000.0
226,2016,Gentilly-2,Carbon-14,Bq,379000000000.0,56400000000.0
227,2016,Gentilly-2,Estimated public dose (see footnote),mSv/a,0.001,0.0
228,2016,Gentilly-2,Iodine-131,Bq,0.0,0.0
229,2016,Gentilly-2,Particulate (gross beta/gamma),Bq,517000.0,133000000.0
230,2016,Gentilly-2,Total noble gases,Bq-MeV,0.0,0.0
231,2016,Gentilly-2,Tritium (HTO),Bq,73200000000000.0,38300000000000.0
232,2016,Pickering Nuclear - A & B,Carbon-14,Bq,2400000000000.0,4700000000.0
233,2016,Pickering Nuclear - A & B,Estimated public dose (see footnote),mSv/a,0.0015,0.0
234,2016,Pickering Nuclear - A & B,Iodine-131,Bq,14000000.0,0.0
235,2016,Pickering Nuclear - A & B,Particulate (gross beta/gamma),Bq,29500000.0,57800000000.0
236,2016,Pickering Nuclear - A & B,Particulate gross alpha,Bq,990000.0,3700000.0
237,2016,Pickering Nuclear - A & B,Total noble gases,Bq-MeV,115800000000000.0,0.0
238,2016,Pickering Nuclear - A & B,Tritium (HTO),Bq,680000000000000.0,320000000000000.0
239,2016,Point Lepreau Generating Station,Carbon-14,Bq,110000000000.0,2900000000.0
240,2016,Point Lepreau Generating Station,Estimated public dose (see footnote),mSv/a,0.0009,0.0
241,2016,Point Lepreau Generating Station,Iodine-131,Bq,520000.0,0.0
242,2016,Point Lepreau Generating Station,Particulate (gross beta/gamma),Bq,2200000.0,78000000.0
243,2016,Point Lepreau Generating Station,Particulate gross alpha,Bq,0.0,7900000.0
244,2016,Point Lepreau Generating Station,Total noble gases,Bq-MeV,95000000000000.0,0.0
245,2016,Point Lepreau Generating Station,Tritium (HTO),Bq,150000000000000.0,180000000000000.0
246,2017,Bruce Power - A,Carbon-14,Bq,1890000000000.0,913000000.0
247,2017,Bruce Power - A,Iodine-131,Bq,20600000.0,0.0
248,2017,Bruce Power - A,Particulate (gross beta/gamma),Bq,439000.0,1080000000.0
249,2017,Bruce Power - A,Particulate gross alpha,Bq,4080.0,0.0
250,2017,Bruce Power - A,Total noble gases,Bq-MeV,94800000000000.0,0.0
251,2017,Bruce Power - A,Tritium (HTO),Bq,732000000000000.0,226000000000000.0
252,2017,Bruce Power - B,Carbon-14,Bq,1230000000000.0,2390000000.0
253,2017,Bruce Power - B,Iodine-131,Bq,1410000.0,0.0
254,2017,Bruce Power - B,Particulate (gross beta/gamma),Bq,2340000.0,2040000000.0
255,2017,Bruce Power - B,Particulate gross alpha,Bq,3700.0,0.0
256,2017,Bruce Power - B,Total noble gases,Bq-MeV,48200000000000.0,0.0
257,2017,Bruce Power - B,Tritium (HTO),Bq,714000000000000.0,715000000000000.0
258,2017,Bruce Power Site,Estimated public dose (see footnote),mSv/a,0.0021,0.0
259,2017,Darlington Nuclear,Carbon-14,Bq,1400000000000.0,1700000000.0
260,2017,Darlington Nuclear,Elemental Tritium (HT),Bq,140000000000000.0,0.0
261,2017,Darlington Nuclear,Estimated public dose (see footnote),mSv/a,0.0007,0.0
262,2017,Darlington Nuclear,Iodine-131,Bq,150000000.0,0.0
263,2017,Darlington Nuclear,Particulate (gross beta/gamma),Bq,26000000.0,26000000000.0
264,2017,Darlington Nuclear,Particulate gross alpha,Bq,1800000.0,1000000.0
265,2017,Darlington Nuclear,Total noble gases,Bq-MeV,15000000000000.0,0.0
266,2017,Darlington Nuclear,Tritium (HTO),Bq,240000000000000.0,560000000000000.0
267,2017,Gentilly-2,Carbon-14,Bq,447000000000.0,279000000000.0
268,2017,Gentilly-2,Estimated public dose (see footnote),mSv/a,0.007,0.0
269,2017,Gentilly-2,Iodine-131,Bq,0.0,0.0
270,2017,Gentilly-2,Particulate (gross beta/gamma),Bq,8320000.0,327000000.0
271,2017,Gentilly-2,Total noble gases,Bq-MeV,0.0,0.0
272,2017,Gentilly-2,Tritium (HTO),Bq,73200000000000.0,217000000000000.0
273,2017,Pickering Nuclear - A & B,Carbon-14,Bq,2600000000000.0,1900000000.0
274,2017,Pickering Nuclear - A & B,Estimated public dose (see footnote),mSv/a,0.0018,0.0
275,2017,Pickering Nuclear - A & B,Iodine-131,Bq,13900000.0,0.0
276,2017,Pickering Nuclear - A & B,Particulate (gross beta/gamma),Bq,206900000.0,26600000000.0
277,2017,Pickering Nuclear - A & B,Particulate gross alpha,Bq,1280000.0,2500000.0
278,2017,Pickering Nuclear - A & B,Total noble gases,Bq-MeV,153500000000000.0,0.0
279,2017,Pickering Nuclear - A & B,Tritium (HTO),Bq,690000000000000.0,380000000000000.0
280,2017,Point Lepreau Generating Station,Carbon-14,Bq,310000000000.0,1800000000.0
281,2017,Point Lepreau Generating Station,Estimated public dose (see footnote),mSv/a,0.0007,0.0
282,2017,Point Lepreau Generating Station,Iodine-131,Bq,520000.0,0.0
283,2017,Point Lepreau Generating Station,Particulate (gross beta/gamma),Bq,2200000.0,78000000.0
284,2017,Point Lepreau Generating Station,Particulate gross alpha,Bq,0.0,7900000.0
285,2017,Point Lepreau Generating Station,Total noble gases,Bq-MeV,46000000000000.0,0.0
286,2017,Point Lepreau Generating Station,Tritium (HTO),Bq,150000000000000.0,120000000000000.0
287,2018,Bruce Power - A,Carbon-14,Bq,1140000000000.0,973000000.0
288,2018,Bruce Power - A,Iodine-131,Bq,6570000.0,0.0
289,2018,Bruce Power - A,Particulate (gross beta/gamma),Bq,1280000.0,1200000000.0
290,2018,Bruce Power - A,Particulate gross alpha,Bq,11000.0,0.0
291,2018,Bruce Power - A,Total noble gases,Bq-MeV,84600000000000.0,0.0
292,2018,Bruce Power - A,Tritium (HTO),Bq,608000000000000.0,196000000000000.0
293,2018,Bruce Power - B,Carbon-14,Bq,1130000000000.0,1380000000.0
294,2018,Bruce Power - B,Iodine-131,Bq,3430000.0,0.0
295,2018,Bruce Power - B,Particulate (gross beta/gamma),Bq,2210000.0,2550000000.0
296,2018,Bruce Power - B,Particulate gross alpha,Bq,23700.0,0.0
297,2018,Bruce Power - B,Total noble gases,Bq-MeV,42400000000000.0,0.0
298,2018,Bruce Power - B,Tritium (HTO),Bq,386000000000000.0,560000000000000.0
299,2018,Bruce Power Site,Estimated public dose (see footnote),mSv/a,0.0017,0.0
300,2018,Darlington Nuclear,Carbon-14,Bq,840000000000.0,1200000000.0
301,2018,Darlington Nuclear,Elemental Tritium (HT),Bq,47000000000000.0,0.0
302,2018,Darlington Nuclear,Estimated public dose (see footnote),mSv/a,0.0008,0.0
303,2018,Darlington Nuclear,Iodine-131,Bq,140000000.0,0.0
304,2018,Darlington Nuclear,Particulate (gross beta/gamma),Bq,25000000.0,26000000000.0
305,2018,Darlington Nuclear,Particulate gross alpha,Bq,1000000.0,350000.0
306,2018,Darlington Nuclear,Total noble gases,Bq-MeV,47000000000000.0,0.0
307,2018,Darlington Nuclear,Tritium (HTO),Bq,210000000000000.0,220000000000000.0
308,2018,Gentilly-2,Carbon-14,Bq,46300000000.0,171000000.0
309,2018,Gentilly-2,Estimated public dose (see footnote),mSv/a,0.009,0.0
310,2018,Gentilly-2,Iodine-131,Bq,0.0,0.0
311,2018,Gentilly-2,Particulate (gross beta/gamma),Bq,2150000.0,25100000.0
312,2018,Gentilly-2,Total noble gases,Bq-MeV,0.0,0.0
313,2018,Gentilly-2,Tritium (HTO),Bq,91700000000000.0,54600000000000.0
314,2018,Pickering Nuclear - A & B,Carbon-14,Bq,3700000000000.0,1100000000.0
315,2018,Pickering Nuclear - A & B,Estimated public dose (see footnote),mSv/a,0.0021,0.0
316,2018,Pickering Nuclear - A & B,Iodine-131,Bq,11700000.0,0.0
317,2018,Pickering Nuclear - A & B,Particulate (gross beta/gamma),Bq,7700000.0,43300000000.0
318,2018,Pickering Nuclear - A & B,Particulate gross alpha,Bq,1180000.0,1800000.0
319,2018,Pickering Nuclear - A & B,Total noble gases,Bq-MeV,125000000000000.0,0.0
320,2018,Pickering Nuclear - A & B,Tritium (HTO),Bq,620000000000000.0,420000000000000.0
321,2018,Point Lepreau Generating Station,Carbon-14,Bq,330000000000.0,4900000000.0
322,2018,Point Lepreau Generating Station,Estimated public dose (see footnote),mSv/a,0.0007,0.0
323,2018,Point Lepreau Generating Station,Iodine-131,Bq,1300000.0,0.0
324,2018,Point Lepreau Generating Station,Particulate (gross beta/gamma),Bq,2200000.0,97000000.0
325,2018,Point Lepreau Generating Station,Particulate gross alpha,Bq,0.0,17000000.0
326,2018,Point Lepreau Generating Station,Total noble gases,Bq-MeV,25000000000000.0,0.0
327,2018,Point Lepreau Generating Station,Tritium (HTO),Bq,140000000000000.0,240000000000000.0
328,2019,Bruce Power - A,Carbon-14,Bq,1340000000000.0,817000000.0
