,Year,Facility Name,Substance Name (English),Units,Stack Emissions,Direct Discharge
167,2020,SRBT,Tritium (HTO),GBq,9750.0,0.0
168,2021,BWXT - Peterborough,Estimated public dose (see footnote),mSv/a,0.0,0.0
169,2021,BWXT - Peterborough,Uranium,kg,0.0,0.0
170,2021,BWXT - Toronto,Estimated public dose (see footnote),mSv/a,0.0175,0.0
171,2021,BWXT - Toronto,Uranium,kg,0.005,0.0
172,2021,Blind River Refinery,Estimated public dose (see footnote),mSv/a,0.009,0.0
173,2021,Blind River Refinery,Radium-226,MBq,0.0,2.2
174,2021,Blind River Refinery,Uranium,kg,3.2,2.2
175,2021,Cameco Fuel Manufacturing,Estimated public dose (see footnote),mSv/a,0.372,0.0
176,2021,Cameco Fuel Manufacturing,Uranium,kg,0.89,0.0
177,2021,Nordion - Ottawa,Cobalt-60,GBq,4e-05,0.0
178,2021,Nordion - Ottawa,Estimated public dose (see footnote),mSv/a,0.00135,0.0
179,2021,Nordion - Ottawa,Iodine-125,GBq,0.0,0.0
180,2021,Nordion - Ottawa,Iodine-131,GBq,0.0,0.0
181,2021,Nordion - Ottawa,Xenon-133,GBq,0.0,0.0
182,2021,Nordion - Ottawa,Xenon-135,GBq,0.0,0.0
183,2021,Nordion - Ottawa,Xenon-135m,GBq,0.0,0.0
184,2021,Port Hope Conversion Facility,Estimated public dose (see footnote),mSv/a,0.15799999999999997,0.0
185,2021,Port Hope Conversion Facility,Uranium,kg,39.0,0.0
186,2021,SRBT,Elemental Tritium (HT),GBq,20300.0,0.0
187,2021,SRBT,Estimated public dose (see footnote),mSv/a,0.002,0.0
188,2021,SRBT,Tritium (HTO),GBq,8390.0,0.0
