,Year,Facility Name,Substance Name (English),Units,Stack Emissions,Direct Discharge
154,2018,Chalk River Laboratories,Estimated public dose (see footnote),mSv/a,0.036,0.0
155,2018,Chalk River Laboratories,Iodine-125,Bq,96700000.0,0.0
156,2018,Chalk River Laboratories,Iodine-131,Bq,105000000.0,0.0
157,2018,Chalk River Laboratories,Particulate gross alpha,Bq,0.0,688000000.0
158,2018,Chalk River Laboratories,Particulate gross beta,Bq,0.0,28400000000.0
159,2018,Chalk River Laboratories,Strontium-90,Bq,0.0,8720000000.0
160,2018,Chalk River Laboratories,Total noble gases,Bq-MeV,6500000000000.0,0.0
161,2018,Chalk River Laboratories,Tritium (HTO),Bq,234000000000000.0,19300000000000.0
162,2018,Douglas Point,Carbon-14,Bq,1510000000.0,0.0
163,2018,Douglas Point,Estimated public dose (see footnote),mSv/a,0.0017,0.0
164,2018,Douglas Point,Particulate gross alpha,Bq,3070.0,11800000.0
165,2018,Douglas Point,Particulate gross beta,Bq,45500.0,19700000.0
166,2018,Douglas Point,Tritium (HTO),Bq,796000000000.0,27300000000.0
167,2018,Nuclear Power Demonstration,Estimated public dose (see footnote),mSv/a,0.01,0.0
168,2018,Nuclear Power Demonstration,Particulate gross beta,Bq,42300.0,59100000.0
169,2018,Nuclear Power Demonstration,Tritium (HTO),Bq,308000000000.0,1800000000.0
170,2018,Port Granby Project,Estimated public dose (see footnote),mSv/a,0.02,0.0
171,2018,Port Granby Project,Radium-226,Bq,0.0,1000000.0
172,2018,Port Granby Project,Uranium,kg,0.0,1.3
173,2018,Port Hope Project,Estimated public dose (see footnote),mSv/a,0.0275,0.0
174,2018,Port Hope Project,Radium-226,Bq,0.0,5680700000.0
175,2018,Port Hope Project,Uranium,kg,0.0,15.1
176,2018,Whiteshell Laboratories,Americium-241,Bq,0.0,4210000.0
177,2018,Whiteshell Laboratories,Cesium-137,Bq,0.0,15100000.0
178,2018,Whiteshell Laboratories,Estimated public dose (see footnote),mSv/a,3.6e-05,0.0
179,2018,Whiteshell Laboratories,Particulate gross alpha,Bq,91300.0,39000000.0
180,2018,Whiteshell Laboratories,Particulate gross beta,Bq,170000.0,194000000.0
181,2018,Whiteshell Laboratories,Plutonium-238,Bq,0.0,18400000.0
182,2018,Whiteshell Laboratories,Plutonium-239/240,Bq,0.0,23200000.0
183,2018,Whiteshell Laboratories,Strontium-90,Bq,0.0,32100000.0
184,2018,Whiteshell Laboratories,Tritium (HTO),Bq,13100000000.0,0.0
185,2018,Whiteshell Laboratories,Uranium-total,Bq,0.0,11600000.0
186,2019,Chalk River Laboratories,Argon-41,Bq,0.0,0.0
187,2019,Chalk River Laboratories,Carbon-14,Bq,34400000000.0,0.0
188,2019,Chalk River Laboratories,Elemental Tritium (HT),Bq,5510000000000.0,0.0
189,2019,Chalk River Laboratories,Estimated public dose (see footnote),mSv/a,0.0039,0.0
190,2019,Chalk River Laboratories,Iodine-125,Bq,2440000.0,0.0
191,2019,Chalk River Laboratories,Iodine-131,Bq,26700000.0,0.0
192,2019,Chalk River Laboratories,Particulate gross alpha,Bq,0.0,462000000.0
193,2019,Chalk River Laboratories,Particulate gross beta,Bq,0.0,27500000000.0
194,2019,Chalk River Laboratories,Strontium-90,Bq,0.0,2570000000.0
195,2019,Chalk River Laboratories,Total noble gases,Bq-MeV,0.0,0.0
196,2019,Chalk River Laboratories,Tritium (HTO),Bq,201000000000000.0,13100000000000.0
197,2019,Douglas Point,Estimated public dose (see footnote),mSv/a,0.0015,0.0
198,2019,Douglas Point,Particulate gross alpha,Bq,4900.0,6750000.0
199,2019,Douglas Point,Particulate gross beta,Bq,39000.0,45200000.0
200,2019,Douglas Point,Tritium (HTO),Bq,241000000000.0,37300000000.0
201,2019,Nuclear Power Demonstration,Estimated public dose (see footnote),mSv/a,0.01,0.0
202,2019,Nuclear Power Demonstration,Particulate gross beta,Bq,42100.0,40600000.0
203,2019,Nuclear Power Demonstration,Tritium (HTO),Bq,159000000000.0,25200000000.0
204,2019,Port Granby Project,Estimated public dose (see footnote),mSv/a,0.0396,0.0
205,2019,Port Granby Project,Radium-226,Bq,0.0,2200000.0
206,2019,Port Granby Project,Uranium,kg,0.0,2.7
207,2019,Port Hope Project,Estimated public dose (see footnote),mSv/a,0.036,0.0
208,2019,Port Hope Project,Radium-226,Bq,0.0,782000.0
209,2019,Port Hope Project,Uranium,kg,0.0,0.2
210,2019,Whiteshell Laboratories,Americium-241,Bq,0.0,20100000.0
211,2019,Whiteshell Laboratories,Cesium-137,Bq,0.0,21100000.0
212,2019,Whiteshell Laboratories,Estimated public dose (see footnote),mSv/a,8.7e-05,0.0
213,2019,Whiteshell Laboratories,Particulate gross alpha,Bq,93100.0,58200000.0
214,2019,Whiteshell Laboratories,Particulate gross beta,Bq,327000.0,343000000.0
215,2019,Whiteshell Laboratories,Plutonium-238,Bq,0.0,48600000.0
216,2019,Whiteshell Laboratories,Plutonium-239/240,Bq,0.0,47000000.0
217,2019,Whiteshell Laboratories,Strontium-90,Bq,0.0,59500000.0
218,2019,Whiteshell Laboratories,Tritium (HTO),Bq,33400000000.0,4510000000.0
219,2019,Whiteshell Laboratories,Uranium-total,Bq,0.0,14900000.0
220,2020,Chalk River Laboratories,Argon-41,Bq,0.0,0.0
221,2020,Chalk River Laboratories,Carbon-14,Bq,26100000000.0,0.0
222,2020,Chalk River Laboratories,Elemental Tritium (HT),Bq,5060000000000.0,0.0
223,2020,Chalk River Laboratories,Estimated public dose (see footnote),mSv/a,0.0074,0.0
