Year | Année,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Région économique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Français),Units | Unités,<,Stack Emissions | Émissions de cheminées,<,Direct Discharge | Évacuations directes,Footnotes | Notes de bas de page
2020,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.069,-66.4556,Iodine-131,Iode-131,Bq,,7.09E+06,,1.42E+06,
2020,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.069,-66.4556,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,,2.00E+06,,3.83E+07,
2020,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.069,-66.4556,Particulate gross alpha,Particules alpha brutes,Bq,,NRM | NRS,,7.10E+06,
2020,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.069,-66.4556,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,,0.0013,,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2020,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Tritium (HTO),Tritium (Eau tritiée),Bq,,3.40E+14,,2.50E+14,
2020,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Carbon-14,Carbone-14,Bq,,1.60E+12,,1.10E+09,
2020,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Total noble gases,Total des gaz nobles,Bq-MeV,,7.80E+13,,NRM | NRS,
2020,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Iodine-131,Iode-131,Bq,,2.20E+07,,NRM | NRS,
2020,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,,2.90E+06,,7.70E+08,
2020,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Particulate gross alpha,Particules alpha brutes,Bq,,3.00E+04,<,LD,<LD = 0
