_id,Year | Annee,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Region economique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Francais),Units | Unites,Stack Emissions | Emissions de cheminees,Direct Discharge | Evacuations directes,Footnotes | Notes de bas de page
93,2018,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,2.20E+06,9.70E+07,""
94,2018,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Particulate gross alpha,Particules alpha brutes,Bq,NRM | NRS,1.70E+07,""
95,2018,1710,New Brunswick Power Corporation,Point Lepreau Generating Station,Maces Bay,Musquash,Saint John,Saint John--St. Stephen,NB,45.0690,-66.4556,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.0007,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
96,2018,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Tritium (HTO),Tritium (Eau tritiée),Bq,6.08E+14,1.96E+14,""
97,2018,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Carbon-14,Carbone-14,Bq,1.14E+12,9.73E+08,""
98,2018,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Total noble gases,Total des gaz nobles,Bq-MeV,8.46E+13,NRM | NRS,""
99,2018,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Iodine-131,Iode-131,Bq,6.57E+06,NRM | NRS,""
100,2018,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,1.28E+06,1.20E+09,""
101,2018,7041,Bruce Power LP,Bruce Power - A,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Particulate gross alpha,Particules alpha brutes,Bq,1.10E+04,LD,<LD = 0
102,2018,7041,Bruce Power LP,Bruce Power - B,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Tritium (HTO),Tritium (Eau tritiée),Bq,3.86E+14,5.60E+14,""
103,2018,7041,Bruce Power LP,Bruce Power - B,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Carbon-14,Carbone-14,Bq,1.13E+12,1.38E+09,""
104,2018,7041,Bruce Power LP,Bruce Power - B,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Total noble gases,Total des gaz nobles,Bq-MeV,4.24E+13,NRM | NRS,""
105,2018,7041,Bruce Power LP,Bruce Power - B,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Iodine-131,Iode-131,Bq,3.43E+06,NRM | NRS,""
106,2018,7041,Bruce Power LP,Bruce Power - B,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,2.21E+06,2.55E+09,""
107,2018,7041,Bruce Power LP,Bruce Power - B,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Particulate gross alpha,Particules alpha brutes,Bq,2.37E+04,LD,<LD = 0
108,2018,7041,Bruce Power LP,Bruce Power Site,Tiverton,Kincardine,"",Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,0.0017,NRM | NRS,Includes the entire Bruce site. Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | Comprend tout le site de Bruce. La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
109,2018,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-78.7250,Elemental Tritium (HT),Tritium élémentaire,Bq,4.70E+13,NRM | NRS,""
110,2018,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-78.7250,Tritium (HTO),Tritium (Eau tritiée),Bq,2.10E+14,2.20E+14,""
